DEJ:
211,96,169
209,96,170
222,111,185
235,126,204
241,137,214
242,143,221
242,148,225
241,146,226
235,143,222
231,136,216
232,140,219
240,150,226
244,161,236
247,168,241
240,170,240
239,174,243
244,180,245
244,173,236
248,173,235
249,175,235
251,177,237
251,177,235
251,175,233
247,170,228
248,166,225
242,154,214
244,149,210
241,138,205
239,128,196
237,119,192
238,113,187
239,109,186
242,107,185
255,113,190
253,108,186
247,103,178
242,99,172
239,98,171
242,103,171
246,107,175
250,112,176
243,105,169
237,100,161
233,94,155
229,91,149
227,88,145
217,105,177
212,102,174
221,113,185
231,126,199
236,135,210
240,142,218
242,147,222
239,145,222
234,140,217
236,142,219
236,142,219
239,150,224
246,161,235
247,169,240
243,172,239
241,175,240
244,179,241
248,174,238
249,174,236
251,174,235
251,177,237
252,178,236
254,178,236
253,176,234
255,173,232
250,164,224
252,159,220
252,149,216
249,140,208
248,131,204
247,124,198
246,118,195
249,117,194
255,122,199
255,116,190
245,106,180
237,99,171
232,94,165
232,95,163
238,99,167
241,103,167
239,101,165
236,99,161
233,96,157
231,93,151
228,90,148
223,86,142
231,125,192
236,131,198
239,138,206
244,145,215
249,153,224
253,159,230
250,155,229
243,148,222
241,146,220
239,144,218
240,148,219
247,159,229
249,169,236
247,173,237
244,175,236
246,177,238
248,173,235
248,171,233
248,170,231
247,170,231
250,174,232
252,176,234
254,177,235
255,176,235
255,173,232
255,170,230
255,163,229
255,156,223
255,147,219
255,140,213
254,132,208
255,129,205
255,130,206
255,122,195
242,109,182
231,97,169
223,90,160
224,89,157
229,92,160
232,96,160
240,102,166
241,104,166
240,103,164
235,102,159
230,97,154
225,92,148
221,88,144
249,149,214
250,151,213
249,152,216
252,155,221
255,164,231
255,171,238
255,165,235
252,156,226
241,145,215
237,141,211
237,144,211
244,156,222
252,168,232
250,173,234
248,174,234
249,175,235
246,167,230
245,164,227
242,162,223
239,161,222
240,164,222
244,168,226
246,170,228
248,171,229
253,171,230
255,170,230
255,167,231
255,164,230
255,157,226
255,151,223
255,144,218
255,141,214
253,133,204
246,124,194
234,110,180
222,97,166
218,89,158
219,88,155
226,92,158
231,95,161
240,104,168
244,109,171
246,111,173
241,109,169
233,104,163
227,100,156
225,100,156
226,102,154
251,157,216
248,153,214
249,154,215
255,161,225
255,167,231
255,160,226
247,150,217
236,139,206
233,136,202
234,140,204
245,154,217
253,167,227
254,173,230
252,173,230
